2017/01/02 16:34:06 [I] [industry_code_querys.go:106] enter GetAllMainIndutry.
2017/01/02 16:34:06 [I] [industry_code_querys.go:126] left GetAllMainIndutry.
2017/01/02 16:38:06 [I] [industry_code_querys.go:106] enter GetAllMainIndutry.
2017/01/02 16:38:06 [I] [industry_code_querys.go:126] left GetAllMainIndutry.
2017/01/02 16:41:06 [I] [industry_code_querys.go:106] enter GetAllMainIndutry.
2017/01/02 16:41:06 [I] [industry_code_querys.go:126] left GetAllMainIndutry.
2017/01/03 09:54:55 [I] [grpc_server.go:90] [1.1] enter GetOpenid.
2017/01/03 09:54:55 [I] [user_wx_infos.go:54] [1] enter GetUserWxInfoByUserId.
2017/01/03 09:54:55 [I] [user_wx_infos.go:70] [1] left GetUserWxInfoByUserId.
2017/01/03 09:54:55 [I] [official_account_users.go:209] [1.1] enter GetopenidByCond.
2017/01/03 09:54:55 [I] [asm_amd64.s:480] [1.1] left GetopenidByCond.
2017/01/03 09:54:55 [I] [asm_amd64.s:480] [1.1] left GetOpenid.
2017/01/03 10:52:25 [I] [grpc_server.go:90] [1.1] enter GetOpenid.
2017/01/03 10:52:25 [I] [user_wx_infos.go:54] [1] enter GetUserWxInfoByUserId.
2017/01/03 10:52:25 [I] [asm_amd64.s:480] [1] left GetUserWxInfoByUserId.
2017/01/03 10:52:25 [I] [asm_amd64.s:480] [1.1] left GetOpenid.
2017/01/03 10:54:30 [I] [grpc_server.go:91] [1.1] enter GetOpenid.
2017/01/03 10:54:30 [I] [user_wx_infos.go:55] [1] enter GetUserWxInfoByUserId.
2017/01/03 10:54:30 [I] [asm_amd64.s:480] [1] left GetUserWxInfoByUserId.
2017/01/03 10:54:30 [I] [asm_amd64.s:480] [1.1] left GetOpenid.
2017/01/03 10:55:57 [I] [grpc_server.go:91] [1.1] enter GetOpenid.
2017/01/03 10:55:57 [I] [user_wx_infos.go:55] [1] enter GetUserWxInfoByUserId.
2017/01/03 10:55:57 [I] [asm_amd64.s:480] [1] left GetUserWxInfoByUserId.
2017/01/03 10:55:57 [I] [asm_amd64.s:480] [1.1] left GetOpenid.
2017/01/03 10:57:54 [I] [grpc_server.go:91] [1.1] enter GetOpenid.
2017/01/03 10:57:54 [I] [user_wx_infos.go:55] [1] enter GetUserWxInfoByUserId.
2017/01/03 10:57:54 [I] [user_wx_infos.go:72] [1] left GetUserWxInfoByUserId.
2017/01/03 10:57:54 [I] [official_account_users.go:209] [1.1] enter GetopenidByCond.
2017/01/03 10:57:54 [I] [asm_amd64.s:480] [1.1] left GetopenidByCond.
2017/01/03 10:57:54 [I] [asm_amd64.s:480] [1.1] left GetOpenid.
2017/01/03 10:59:51 [I] [grpc_server.go:90] [1.1] enter GetOpenid.
2017/01/03 10:59:51 [I] [user_wx_infos.go:54] [1] enter GetUserWxInfoByUserId.
2017/01/03 10:59:51 [I] [user_wx_infos.go:70] [1] left GetUserWxInfoByUserId.
2017/01/03 10:59:51 [I] [official_account_users.go:209] [1.1] enter GetopenidByCond.
2017/01/03 10:59:51 [I] [official_account_users.go:230] [1.1] left GetopenidByCond.
2017/01/03 10:59:51 [I] [grpc_server.go:102] [1.1] left GetOpenid.
2017/01/03 10:59:51 [I] [grpc_server.go:22] [20170103105951-1736] enter GetSmsRechargePayJsapiParams.
2017/01/03 10:59:51 [I] [pay.go:84] [0] enter unifiedOrder.
2017/01/03 10:59:51 [I] [pay.go:36] [0] enter GetWechatPayParams.
2017/01/03 10:59:51 [E] [pay.go:44] pay param `:id` empty
2017/01/03 10:59:51 [I] [pay.go:46] [0] left GetWechatPayParams.
2017/01/03 10:59:51 [I] [pay.go:88] [0] left unifiedOrder.
2017/01/03 10:59:51 [E] [grpc_server.go:39] Get unified order error:unifiedOrder: pay param `:id` empty
2017/01/03 10:59:51 [I] [grpc_server.go:40] [20170103105951-1736] left GetSmsRechargePayJsapiParams.
2017/01/03 11:03:21 [I] [grpc_server.go:90] [1.1] enter GetOpenid.
2017/01/03 11:03:21 [I] [user_wx_infos.go:54] [1] enter GetUserWxInfoByUserId.
2017/01/03 11:03:21 [I] [user_wx_infos.go:70] [1] left GetUserWxInfoByUserId.
2017/01/03 11:03:21 [I] [official_account_users.go:209] [1.1] enter GetopenidByCond.
2017/01/03 11:03:21 [I] [official_account_users.go:230] [1.1] left GetopenidByCond.
2017/01/03 11:03:21 [I] [grpc_server.go:102] [1.1] left GetOpenid.
2017/01/03 11:03:21 [I] [grpc_server.go:22] [20170103110321-7753] enter GetSmsRechargePayJsapiParams.
2017/01/03 11:03:21 [I] [pay.go:84] [1] enter unifiedOrder.
2017/01/03 11:03:21 [I] [pay.go:36] [1] enter GetWechatPayParams.
2017/01/03 11:03:21 [I] [official_accounts.go:44] [%v] enter ReadOfficialAccount.
2017/01/03 11:03:21 [I] [official_accounts.go:56] [%v] enter ReadOfficialAccount.
2017/01/03 11:03:21 [I] [pay.go:77] [1] left GetWechatPayParams.
